model,bin,freq,voltage_target,voltage_limit,chip_temp,board_temp,ok_core_pct,min_power
m50.vh40,bin5v1_E,36.7,1400,72,97,0000,29.8,unknown
m50.vh40,bin5v1_G,36.7,1400,70,97,0000,29.8,unknown
m50.vh40,bin1,36.7,1400,70,97,0000,29.8,unknown
m50.vh40,bin2,36.7,1400,70,97,0000,29.8,unknown
m50.vh40,bin3,36.7,1400,70,97,0000,29.8,unknown
m50.vh40,bin4,36.7,1400,70,97,0000,29.8,unknown
m50.vh40,bin5,36.7,1400,70,97,0000,29.8,unknown
m50.vh40,bin6,36.7,1400,70,97,0000,29.8,unknown
m50.vh40,bin9,36.7,1400,70,97,0000,29.8,unknown
m50.vh40,bin10,36.7,1400,70,97,0000,29.8,unknown
m50.vh40,bin11,36.7,1400,70,97,0000,29.8,unknown
m50.vh40,bin12,36.7,1400,70,97,0000,29.8,unknown
m50.vh40,bin13,36.7,1400,70,97,0000,29.8,unknown
m50.vh40,bin14,36.7,1400,70,97,0000,29.8,unknown
m50.vh40,bin15,36.7,1400,70,97,0000,29.8,unknown
m50.vh40,bin16,36.7,1400,70,97,0000,29.8,unknown
m50.vh40,bin17,36.7,1400,70,97,0000,29.8,unknown
m50.vh40,bin18,36.7,1400,70,97,0000,29.8,unknown
m50.vh40,bin19,36.7,1400,70,97,0000,29.8,unknown
m50.vh40,bin20,36.7,1400,70,97,0000,29.8,unknown
m50.vh50,bin5v1_A,36.7,1170,74,97,0000,29.8,unknown
m50.vh50,bin5v1_C,36.7,1170,72,97,0000,29.8,unknown
m50.vh50,bin5v1_E,36.7,1170,72,97,0000,29.8,unknown
m50.vh50,bin5v1_G,36.7,1170,70,97,0000,29.8,unknown
m50.vh50,bin6v1_A,36.7,1170,74,97,0000,29.8,unknown
m50.vh50,bin6v1_C,36.7,1170,72,97,0000,29.8,unknown
m50.vh50,bin6v1_E,36.7,1170,72,97,0000,29.8,unknown
m50.vh50,bin6v1_G,36.7,1170,70,97,0000,29.8,unknown
m50.vh50,bin9v1_A,36.7,1180,74,97,0000,29.8,unknown
m50.vh50,bin9v1_C,36.7,1180,72,97,0000,29.8,unknown
m50.vh50,bin9v1_E,36.7,1180,72,97,0000,29.8,unknown
m50.vh50,bin9v1_G,36.7,1180,70,97,0000,29.8,unknown
m50.vh50,bin10v1_A,36.7,1190,74,97,0000,29.8,unknown
m50.vh50,bin10v1_C,36.7,1190,72,97,0000,29.8,unknown
m50.vh50,bin10v1_E,36.7,1190,72,97,0000,29.8,unknown
m50.vh50,bin10v1_G,36.7,1190,70,97,0000,29.8,unknown
m50.vh50,bin11v1_A,36.7,1200,74,97,0000,29.8,unknown
m50.vh50,bin11v1_C,36.7,1200,72,97,0000,29.8,unknown
m50.vh50,bin11v1_E,36.7,1200,72,97,0000,29.8,unknown
m50.vh50,bin11v1_G,36.7,1200,70,97,0000,29.8,unknown
m50.vh50,bin12v1_A,36.7,1210,74,97,0000,29.8,unknown
m50.vh50,bin12v1_C,36.7,1210,72,97,0000,29.8,unknown
m50.vh50,bin12v1_E,36.7,1210,72,97,0000,29.8,unknown
m50.vh50,bin12v1_G,36.7,1210,70,97,0000,29.8,unknown
m50.vh50,bin13v1_A,36.7,1220,74,97,0000,29.8,unknown
m50.vh50,bin13v1_C,36.7,1220,72,97,0000,29.8,unknown
m50.vh50,bin13v1_E,36.7,1220,72,97,0000,29.8,unknown
m50.vh50,bin13v1_G,36.7,1220,70,97,0000,29.8,unknown
m50.vh50,bin1,36.7,1400,70,97,0000,29.8,unknown
m50.vh50,bin2,36.7,1400,70,97,0000,29.8,unknown
m50.vh50,bin3,36.7,1400,70,97,0000,29.8,unknown
m50.vh50,bin4,36.7,1400,70,97,0000,29.8,unknown
m50.vh50,bin5,36.7,1400,70,97,0000,29.8,unknown
m50.vh50,bin6,36.7,1400,70,97,0000,29.8,unknown
m50.vh50,bin9,36.7,1400,70,97,0000,29.8,unknown
m50.vh50,bin10,36.7,1400,70,97,0000,29.8,unknown
m50.vh50,bin11,36.7,1400,70,97,0000,29.8,unknown
m50.vh50,bin12,36.7,1400,70,97,0000,29.8,unknown
m50.vh50,bin13,36.7,1400,70,97,0000,29.8,unknown
m50.vh50,bin14,36.7,1400,70,97,0000,29.8,unknown
m50.vh50,bin15,36.7,1400,70,97,0000,29.8,unknown
m50.vh50,bin16,36.7,1400,70,97,0000,29.8,unknown
m50.vh50,bin17,36.7,1400,70,97,0000,29.8,unknown
m50.vh50,bin18,36.7,1400,70,97,0000,29.8,unknown
m50.vh50,bin19,36.7,1400,70,97,0000,29.8,unknown
m50.vh50,bin20,36.7,1400,70,97,0000,29.8,unknown
m50.vh60,bin1v1_A,36.7,1360,80,97,0000,29.8,unknown
m50.vh60,bin1v1_C,36.7,1360,74,97,0000,29.8,unknown
m50.vh60,bin1v1_E,36.7,1360,72,97,0000,29.8,unknown
m50.vh60,bin1v1_G,36.7,1360,70,97,0000,29.8,unknown
m50.vh60,bin2v1_A,36.7,1370,80,97,0000,29.8,unknown
